commodity,commodity_group,commodity_uuid,units
"BROAD BEANS","Unknown","VAAR572","Rs./Quintal"
"BROCCOLI","Unknown","VAAR605","Rs./Quintal"
"BROKEN RICE-THICK(NON BASMATI)","Others","VAAR244","Rs./Quintal"
"Bull","Live Stock,Poultry,Fisheries","VAAR173","Rs./Unit"
"Bullar","Pulses","VAAR237","Rs./Quintal"
"Bunch Beans","Others","VAAR183","Rs./Unit"
"buttery","Pulses","VAAR345","Rs./Quintal"
"BUTTON MUSHROOM","Unknown","VAAR634","Rs./Quintal"
"Cabbage","Vegetables","VAAR126","Rs./Quintal"
"CABBAGE","Vegetables","VAAR126","Rs./Quintal"
"Calf","Live Stock,Poultry,Fisheries","VAAR174","Rs./Unit"
"Capsicum","Vegetables","VAAR136","Rs./Quintal"
"Cardamoms","Spices","VAAR36","Rs./Quintal"
"Carnation","Flowers","VAAR322","Rs./Unit"
"Carrot","Vegetables","VAAR125","Rs./Quintal"
"CARROT","Vegetables","VAAR125","Rs./Quintal"
"Cashewnuts","Dry Fruits","VAAR33","Rs./Quintal"
"Castor Seed","Oil Seeds","VAAR106","Rs./Quintal"
"CASTOR SEED","Oil Seeds","VAAR106","Rs./Quintal"
"Cauliflower","Vegetables","VAAR31","Rs./Quintal"
"Chakotha","Fruits","VAAR158","Rs./Quintal"
"CHANA","Unknown","VAAR661","Rs./Quintal"
"CHANA (BENGAL GRAM)","Unknown","VAAR662","Rs./Quintal"
"CHANA (BENGAL GRAM)-DESI","Unknown","VAAR663","Rs./Quintal"
"CHANA BENGAL GRAM-DOLLAR","Unknown","VAAR557","Rs./Quintal"
"CHANA GRAM","Unknown","VAAR568","Rs./Quintal"
"CHANA GULABI","Unknown","VAAR775","Rs./Quintal"
"CHANA PKV2","Unknown","VAAR644","Rs./Quintal"
"CHANA-LOCAL","Unknown","VAAR664","Rs./Quintal"
"Chapparad Avare","Vegetables","VAAR141","Rs./Quintal"
"Cherry","Fruits","VAAR278","Rs./Quintal"
"CHERRY","Fruits","VAAR278","Rs./Quintal"
"CHIKOOS","Unknown","VAAR719","Rs./Quintal"
"Chikoos(Sapota)","Fruits","VAAR58","Rs./Quintal"
"Chili Red","Spices","VAAR26","Rs./Quintal"
"CHILLI -SHARK 1","Unknown","VAAR675","Rs./Quintal"
"CHILLI BADIGA","Unknown","VAAR574","Rs./Quintal"
"CHILLI BANGARAM","Unknown","VAAR601","Rs./Quintal"
"CHILLI NS 250 BULLET","Unknown","VAAR578","Rs./Quintal"
"CHILLI TEJA A/C","Unknown","VAAR556","Rs./Quintal"
"CHILLI- ARMOUR","Unknown","VAAR676","Rs./Quintal"
"CHILLI-273","Unknown","VAAR685","Rs./Quintal"
"CHILLI-273 A/C","Unknown","VAAR677","Rs./Quintal"
"CHILLI-334","Unknown","VAAR683","Rs./Quintal"
"CHILLI-334 A/C","Unknown","VAAR674","Rs./Quintal"
"CHILLI-341","Unknown","VAAR681","Rs./Quintal"
"CHILLI-341 A/C","Unknown","VAAR670","Rs./Quintal"
"CHILLI-4884","Unknown","VAAR672","Rs./Quintal"
"CHILLI-4884 A/C","Unknown","VAAR686","Rs./Quintal"
"CHILLI-5","Unknown","VAAR669","Rs./Quintal"
"CHILLI-5 A/C","Unknown","VAAR682","Rs./Quintal"
"CHILLI-BADIGI 355","Unknown","VAAR688","Rs./Quintal"
"CHILLI-BADIGI A/C","Unknown","VAAR671","Rs./Quintal"
"CHILLI-DESI","Unknown","VAAR679","Rs./Quintal"
"CHILLI-DEVANURU DELUX","Unknown","VAAR689","Rs./Quintal"
"CHILLI-DEVANURU DELUX A/C","Unknown","VAAR680","Rs./Quintal"
"CHILLI-SUPER10","Unknown","VAAR673","Rs./Quintal"
"CHILLI-SUPER10 A/C","Unknown","VAAR678","Rs./Quintal"
"CHILLI-TALU A/C","Unknown","VAAR687","Rs./Quintal"
"CHILLI-TEJA","Unknown","VAAR684","Rs./Quintal"
"CHILLI-THAALU","Unknown","VAAR554","Rs./Quintal"
"CHILLIES","Unknown","VAAR567","Rs./Quintal"
"Chilly Capsicum","Vegetables","VAAR74","Rs./Quintal"
"Chow Chow","Vegetables","VAAR139","Rs./Quintal"
"Chrysanthemum","Flowers","VAAR331","Rs./Unit"
"Chrysanthemum(Loose)","Flowers","VAAR189","Rs./Quintal"
"Cinamon(Dalchini)","Spices","VAAR267","Rs./Quintal"
"Cloves","Spices","VAAR89","Rs./Quintal"
"Cluster beans","Vegetables","VAAR66","Rs./Quintal"
"Cock","Live Stock,Poultry,Fisheries","VAAR315","Rs./Unit"
"Cocoa","Beverages","VAAR88","Rs./Quintal"
"Coconut","Spices","VAAR116","Rs./Quintal"
"Coconut Coir","Others","VAAR469","Rs./Quintal"
"COCONUT COIR_BRISTLE COIR FIBR","Unknown","VAAR786","Rs./Quintal"
"COCONUT COIR_DECORTICATED FIBR","Unknown","VAAR828","Rs./Quintal"
"COCONUT COIR_MATTRESS COIR","Unknown","VAAR785","Rs./Quintal"
"COCONUT COIR_RETTED/WHITE FIBR","Unknown","VAAR790","Rs./Quintal"
"COCONUT DEHUSKED IN QUINTAL","Unknown","VAAR737","Rs./Quintal"
"Coconut Oil","Oils and Fats","VAAR220","Rs./Quintal"
"Coconut Seed","Oil Seeds","VAAR96","Rs./Quintal"
"COCONUT WITH HUSK","Unknown","VAAR793","Rs./Unit"
"Coffee","Beverages","VAAR41","Rs./Quintal"
"Colacasia","Vegetables","VAAR269","Rs./Quintal"
"Coleus","Drug and Narcotics","VAAR470","Rs./Quintal"
"COLOCASIA VEGETABLE","Unknown","VAAR607","Rs./Quintal"
"Copra","Oil Seeds","VAAR111","Rs./Quintal"
"COPRA_80 KG(TN)","Unknown","VAAR787","Rs./Quintal"
"COPRA_80 KG(TN)","Oil Seeds","VAAR111","Rs./Quintal"
"CORIANDAR","Unknown","VAAR565","Rs./Quintal"
"CORIANDER","Unknown","VAAR716","Rs./Quintal"
"CORIANDER  WHOLE","Unknown","VAAR582","Rs./Quintal"
"CORIANDER LEAVES","Unknown","VAAR593","Rs./Quintal"
"Coriander(Leaves)","Vegetables","VAAR39","Bundle"
"Corriander seed","Spices","VAAR92","Rs./Quintal"
"Cotton","Fibre Crops","VAAR15","Rs./Quintal"
"Cotton Seed","Oil Seeds","VAAR84","Rs./Quintal"
"COTTON-BAGS","Unknown","VAAR800","Rs./Quintal"
"COTTON-BUNNY/BRAHAMMA","Unknown","VAAR779","Rs./Quintal"
"COTTON-LOOSE","Unknown","VAAR761","Rs./Quintal"
"COTTON-LRA","Unknown","VAAR799","Rs./Quintal"
"COTTON-RAW","Unknown","VAAR777","Rs./Quintal"
"Cow","Live Stock,Poultry,Fisheries","VAAR171","Rs./Unit"
"COWPEA BLACK","Unknown","VAAR712","Rs./Quintal"
"COWPEA RED","Unknown","VAAR714","Rs./Quintal"
"COWPEA WHITE","Unknown","VAAR713","Rs./Quintal"
"Cowpea(Lobia/Karamani)","Pulses","VAAR78","Rs./Quintal"
"Cowpea(Veg)","Vegetables","VAAR75","Rs./Quintal"
"Cucumbar(Kheera)","Vegetables","VAAR131","Rs./Quintal"
"CUCUMBER","Unknown","VAAR561","Rs./Quintal"
"CUMBU-HYBRID ","Unknown","VAAR615","Rs./Quintal"
"CUMMIN","Unknown","VAAR765","Rs./Quintal"
"Cummin Seed(Jeera)","Spices","VAAR38","Rs./Quintal"
"CURRY LEAVES","Unknown","VAAR630","Rs./Quintal"
"CUSTARD APPLE","Unknown","VAAR837","Rs./Quintal"
"Custard Apple(Sharifa)","Fruits","VAAR300","Rs./Quintal"
"Dates","Dry Fruits","VAAR472","Rs./Quintal"
"Delha","Flowers","VAAR339","Rs./Quintal"
"Dhaincha","Others","VAAR57","Rs./Quintal"
"dhawai flowers","Drug and Narcotics","VAAR371","Rs./Quintal"
"dried mango","Spices","VAAR352","Rs./Quintal"
"Drumstick","Vegetables","VAAR140","Rs./Quintal"
"Dry Chillies","Spices","VAAR113","Rs./Quintal"
"DRY CHILLY_10 KG(TN)","Unknown","VAAR636","Rs./Quintal"
"DRY FISH (MINNOW)","Unknown","VAAR711","Rs./Quintal"
"DRY FISH (SHRIMP)","Unknown","VAAR824","Rs./Quintal"
"DRY FISH (SHRIMP)","Live Stock,Poultry,Fisheries","VAAR473","Rs./Quintal"
"Dry Fodder","Others","VAAR293","Rs./Quintal"
"Dry Grapes","Dry Fruits","VAAR231","Rs./Quintal"
"DRY PEAS","Unknown","VAAR632","Rs./Quintal"
"Duster Beans","Vegetables","VAAR135","Rs./Quintal"
"Egg","Live Stock,Poultry,Fisheries","VAAR314","Rs./Unit"
"Elephant Yam(Suran)/Amorphophallus","Vegetables","VAAR247","Rs./Quintal"
"FENNEL SEED","Unknown","VAAR577","Rs./Quintal"
"FENUGREEK (HARI METHI)","Unknown","VAAR696","Rs./Quintal"
"FENUGREEK (WHOLE)","Unknown","VAAR563","Rs./Quintal"
"Field Pea","Vegetables","VAAR53","Rs./Quintal"
"FIELDGRAM","Pulses","VAAR475","Rs./Quintal"
"Fig(Anjura/Anjeer)","Others","VAAR180","Rs./Unit"
"Firewood","Forest Products","VAAR166","Rs./Quintal"
"Fish","Live Stock,Poultry,Fisheries","VAAR313","Rs./Quintal"
"Flax seeds","Others","VAAR439","Rs./Quintal"
"FOX TAIL MILLET","Unknown","VAAR617","Rs./Quintal"
"Foxtail Millet(Navane)","Cereals","VAAR104","Rs./Quintal"
"FRENCH BEAN","Unknown","VAAR733","Rs./Quintal"
"French Beans(Frasbean)","Vegetables","VAAR249","Rs./Quintal"
"Galgal(Lemon)","Vegetables","VAAR298","Rs./Quintal"
"Garlic","Vegetables","VAAR25","Rs./Quintal"
"Ghee","Oils and Fats","VAAR206","Rs./Quintal"
"GHERKIN","Vegetables","VAAR479","Rs./Quintal"
"Giloy","Forest Products","VAAR381","Rs./Quintal"
"GINGELLY_80 KG(TN)","Unknown","VAAR616","Rs./Quintal"
"GINGER","Unknown","VAAR720","Rs./Quintal"
"GINGER","Spices","VAAR481","Rs./Quintal"
"Ginger(Dry)","Spices","VAAR27","Rs./Quintal"
"Ginger(Green)","Vegetables","VAAR87","Rs./Quintal"
"GINGILY (SESAME SEED)- BLACK","Unknown","VAAR566","Rs./Quintal"
"GINGILY (SESAME SEED)- WHITE","Unknown","VAAR668","Rs./Quintal"
"GINGILY (SESAME SEEDS) - RED","Unknown","VAAR667","Rs./Quintal"
"Gladiolus Cut Flower","Flowers","VAAR310","Rs./Unit"
"Goat","Live Stock,Poultry,Fisheries","VAAR178","Rs./Unit"
"Gond","Forest Products","VAAR440","Rs./Quintal"
"Gram Raw(Chholia)","Vegetables","VAAR306","Rs./Quintal"
"GRAPEFRUIT","Unknown","VAAR641","Rs./Quintal"
"Grapes","Fruits","VAAR22","Rs./Quintal"
"GREEN AMARANTHUS","Unknown","VAAR833","Rs./Quintal"
"Green Avare(W)","Vegetables","VAAR137","Rs./Quintal"
"Green Chilli","Vegetables","VAAR73","Rs./Quintal"
"GREEN CHILLI","Vegetables","VAAR73","Rs./Quintal"
"Green Fodder","Others","VAAR294","Rs./Quintal"
"GREEN GRAM","Unknown","VAAR728","Rs./Quintal"
"Green Gram Dal(Moong Dal)","Pulses","VAAR219","Rs./Quintal"
"GREEN GRAM HYBRID","Unknown","VAAR589","Rs./Quintal"
"GREEN GRAM LOCAL","Unknown","VAAR595","Rs./Quintal"
"Green Gram(Moong)(Whole)","Pulses","VAAR9","Rs./Quintal"
"Green Peas","Pulses","VAAR46","Rs./Quintal"
"GROUND NUT G-2","Unknown","VAAR638","Rs./Quintal"
"GROUND NUT NEW","Unknown","VAAR587","Rs./Quintal"
"GROUND NUT OLD","Unknown","VAAR620","Rs./Quintal"
"GROUND NUT P-NUT","Unknown","VAAR645","Rs./Quintal"
"Ground Nut Seed","Oil Seeds","VAAR222","Rs./Quintal"
"GROUND NUT-PODS","Oils and Fats","VAAR221","Rs./Quintal"
"GROUND NUT-PODS","Unknown","VAAR767","Rs./Quintal"
"Groundnut","Oil Seeds","VAAR10","Rs./Quintal"
"GROUNDNUT KERNEL_80 KG(TN)","Unknown","VAAR784","Rs./Quintal"
"GROUNDNUT KERNEL_80 KG(TN)","Oil Seeds","VAAR10","Rs./Quintal"
"GROUNDNUT LOCAL","Unknown","VAAR836","Rs./Quintal"
"GROUNDNUT PODS_40 KG(TN)","Unknown","VAAR780","Rs./Quintal"
"Groundnut pods(raw)","Vegetables","VAAR263","Rs./Quintal"
"Groundnut(Split)","Oil Seeds","VAAR265","Rs./Quintal"
"Guar","Vegetables","VAAR62","Rs./Quintal"
"Guar Seed(Cluster Beans Seed)","Pulses","VAAR342","Rs./Quintal"
"GUAR SEEDS","Unknown","VAAR759","Rs./Quintal"
"Guava","Fruits","VAAR156","Rs./Quintal"
"Gudmar","Forest Products","VAAR382","Rs./Quintal"
"gulli","Forest Products","VAAR390","Rs./Quintal"
"Gur(Jaggery)","Others","VAAR61","Rs./Quintal"
"Gurellu","Oil Seeds","VAAR232","Rs./Quintal"
"Harrah","Forest Products","VAAR441","Rs./Quintal"
"He Buffalo","Live Stock,Poultry,Fisheries","VAAR175","Rs./Unit"
"Hen","Live Stock,Poultry,Fisheries","VAAR316","Rs./Unit"
"Hippe Seed","Forest Products","VAAR108","Rs./Quintal"
"Honge seed","Oil Seeds","VAAR107","Rs./Quintal"
"HORSE GRAM (WHOLE)","Unknown","VAAR635","Rs./Quintal"
"HORSE GRAM WHITE","Unknown","VAAR657","Rs./Quintal"
"HORSEGRAM","Unknown","VAAR694","Rs./Quintal"
"HORSEGRAM - BLACK","Unknown","VAAR693","Rs./Quintal"
"HORSEGRAM - RED","Unknown","VAAR627","Rs./Quintal"
"Indian Beans(Seam)","Vegetables","VAAR250","Rs./Quintal"
"Indian Colza(Sarson)","Vegetables","VAAR292","Rs./Quintal"
"ISABGOL","Unknown","VAAR592","Rs./Quintal"
"Isabgul(Psyllium)","Drug and Narcotics","VAAR212","Rs./Quintal"
"ISBGOL (PSYLLIUM HUSK) ","Drug and Narcotics","VAAR488","Rs./Quintal"
"ISBGOL (PSYLLIUM HUSK) ","Unknown","VAAR782","Rs./Quintal"
"IVY GOURD (KUNDRU)","Unknown","VAAR596","Rs./Quintal"
"Jack Fruit","Fruits","VAAR153","Rs./Quintal"
"JACK FRUIT","Fruits","VAAR153","Rs./Quintal"
"JACKFRUIT SEED","Vegetables","VAAR489","Rs./Quintal"
"Jaffri","Flowers","VAAR335","Rs./Quintal"
"Jaggery","Others","VAAR123","Rs./Quintal"
"JAGGERY","Others","VAAR123","Rs./Quintal"
"JAGGERY BLACK","Unknown","VAAR744","Rs./Quintal"
"JAGGERY BROWN","Unknown","VAAR745","Rs./Quintal"
"JAGGERY GOLD","Unknown","VAAR746","Rs./Quintal"
"JAGGERY SPECIAL","Unknown","VAAR747","Rs./Quintal"
"Jamun(Narale Hannu)","Fruits","VAAR155","Rs./Quintal"
"Jarbara","Flowers","VAAR323","Rs./Unit"
"Jasmine","Flowers","VAAR187","Rs./Quintal"
"JIMIKAND (SURAN)","Unknown","VAAR580","Rs./Quintal"
"JOWAR","Unknown","VAAR760","Rs./Quintal"
"JOWAR RED","Unknown","VAAR649","Rs./Quintal"
"JOWAR-WHITE","Unknown","VAAR829","Rs./Quintal"
"JOWAR-YELLOW","Unknown","VAAR806","Rs./Quintal"
"Jowar(Sorghum)","Cereals","VAAR5","Rs./Quintal"
"Jute","Fibre Crops","VAAR16","Rs./Quintal"
"Kabuli Chana(Chickpeas-White)","Pulses","VAAR309","Rs./Quintal"
"Kakada","Flowers","VAAR188","Rs./Quintal"
"Kalmegh","Forest Products","VAAR386","Rs./Quintal"
"Kankambra","Flowers","VAAR191","Rs./Quintal"
"karanja seeds","Drug and Narcotics","VAAR368","Rs./Quintal"
"Karbuja(Musk Melon)","Fruits","VAAR157","Rs./Quintal"
"Kartali(Kantola)","Vegetables","VAAR256","Rs./Quintal"
"Khirni","Fruits","VAAR443","Rs./Quintal"
"Kinnow","Fruits","VAAR284","Rs./Quintal"
"Kiwi Fruit","Fruits","VAAR492","Rs./Quintal"
"KIWI FRUIT","Fruits","VAAR492","Rs./Quintal"
"Knool Khol","Vegetables","VAAR149","Rs./Quintal"
"KODO MILLET","Unknown","VAAR788","Rs./Quintal"
"Kodo Millet(Varagu)","Cereals","VAAR101","Rs./Quintal"
"Kulthi(Horse Gram)","Pulses","VAAR98","Rs./Quintal"
"KUSUM SEED","Unknown","VAAR633","Rs./Quintal"
"Kutki","Cereals","VAAR344","Rs./Quintal"
"Ladies Finger","Vegetables","VAAR127","Rs./Quintal"
"LADY FINGER","Unknown","VAAR569","Rs./Quintal"
"Lak(Teora)","Pulses","VAAR81","Rs./Quintal"
"LAKH/TEORA","Unknown","VAAR629","Rs./Quintal"
"Leafy Vegetable","Vegetables","VAAR143","Bundle"
"Lemon","Vegetables","VAAR261","Rs./Quintal"
"Lentil(Masur)(Whole)","Pulses","VAAR52","Rs./Quintal"
"LESSER YAM","Vegetables","VAAR497","Rs./Quintal"
"Lilly","Flowers","VAAR325","Rs./Unit"
"Lime","Fruits","VAAR151","Rs./Quintal"
"Linseed","Oil Seeds","VAAR56","Rs./Quintal"
"Lint","Fibre Crops","VAAR233","Rs./Quintal"
"Litchi","Fruits","VAAR299","Rs./Quintal"
"Little gourd(Kundru)","Vegetables","VAAR253","Rs./Quintal"
"LOBIA","Unknown","VAAR584","Rs./Quintal"
"LOBIA HYBRID","Unknown","VAAR704","Rs./Quintal"
"LOBIA LOCAL","Unknown","VAAR702","Rs./Quintal"
"LOBIA PODS","Unknown","VAAR703","Rs./Quintal"
"Long Melon(Kakri)","Vegetables","VAAR255","Rs./Quintal"
"Lotus","Flowers","VAAR332","Rs./Unit"
"Lotus Sticks","Vegetables","VAAR287","Rs./Quintal"
"Mace","Spices","VAAR91","Rs./Quintal"
"MACE WHOLE","Unknown","VAAR709","Rs./Quintal"
"Mahedi","Others","VAAR340","Rs./Quintal"
"Mahua","Drug and Narcotics","VAAR283","Rs./Quintal"
"Mahua Seed(Hippe seed)","Forest Products","VAAR318","Rs./Quintal"
"Maida Atta","Others","VAAR241","Rs./Quintal"
"Maize","Cereals","VAAR4","Rs./Quintal"
"MAIZE BILT","Unknown","VAAR807","Rs./Quintal"
"MAIZE HYBRID","Unknown","VAAR803","Rs./Quintal"
"MAIZE LOCAL","Unknown","VAAR738","Rs./Quintal"
"MAIZE WHITE","Unknown","VAAR762","Rs./Quintal"
"MAIZE YELLOW","Unknown","VAAR729","Rs./Quintal"
"MAIZE-NEW","Unknown","VAAR774","Rs./Quintal"
"MAIZE-OLD","Unknown","VAAR792","Rs./Quintal"
"Mango","Fruits","VAAR20","Rs./Quintal"
"MANGO RAW","Unknown","VAAR825","Rs./Quintal"
"Mango(Raw-Ripe)","Vegetables","VAAR144","Rs./Quintal"
"Marasebu","Fruits","VAAR152","Rs./Quintal"
"Marget","Flowers","VAAR336","Rs./Quintal"
"MARI GOLD","Unknown","VAAR600","Rs./Quintal"
"Marigold(Calcutta)","Flowers","VAAR193","Rs./Unit"
"Marigold(loose)","Flowers","VAAR334","Rs./Quintal"
"Mashrooms","Vegetables","VAAR288","Rs./Quintal"
"MASOOR","Unknown","VAAR575","Rs./Quintal"
"Masur Dal","Pulses","VAAR213","Rs./Quintal"
"Mataki","Pulses","VAAR79","Rs./Quintal"
"Methi Seeds","Spices","VAAR43","Rs./Quintal"
"Methi(Leaves)","Vegetables","VAAR42","Rs./Quintal"
"MILLET","Unknown","VAAR796","Rs./Quintal"
"Millets","Others","VAAR195","Rs./Quintal"
"MINT LEAVES","Unknown","VAAR599","Rs./Quintal"
"Mint(Pudina)","Vegetables","VAAR307","Bundle"
"Moath Dal","Pulses","VAAR452","Rs./Quintal"
"MOONG WHOLE (GREEN GRAM)","Unknown","VAAR547","Rs./Quintal"
"MOONG WHOLE CHAMKI","Unknown","VAAR594","Rs./Quintal"
"MOTH ","Unknown","VAAR549","Rs./Quintal"
"MOUSAMBI","Unknown","VAAR727","Rs./Quintal"
"Mousambi(Sweet Lime)","Fruits","VAAR64","Rs./Quintal"
"Muesli","Drug and Narcotics","VAAR375","Rs./Quintal"
"MUSK MELON","Unknown","VAAR598","Rs./Quintal"
"Mustard","Oil Seeds","VAAR12","Rs./Quintal"
"MUSTARD LEAF","Unknown","VAAR830","Rs./Quintal"
"Mustard Oil","Oils and Fats","VAAR274","Rs./Quintal"
"MUSTARD SEED","Unknown","VAAR766","Rs./Quintal"
"Neem Seed","Forest Products","VAAR109","Rs./Quintal"
"nigella","Spices","VAAR353","Rs./Quintal"
"nigella seeds","Drug and Narcotics","VAAR374","Rs./Quintal"
"NIGER SEED","Unknown","VAAR823","Rs./Quintal"
"Niger Seed(Ramtil)","Oil Seeds","VAAR83","Rs./Quintal"
"Nutmeg","Spices","VAAR90","Rs./Quintal"
"Onion","Vegetables","VAAR23","Rs./Quintal"
"ONION","Vegetables","VAAR23","Rs./Quintal"
"Onion Green","Vegetables","VAAR305","Rs./Quintal"
"ONION RED","Unknown","VAAR736","Rs./Quintal"
"Orange","Fruits","VAAR18","Rs./Quintal"
"Orchid","Flowers","VAAR328","Rs./Unit"
"Other green and fresh vegetables","Vegetables","VAAR349","Rs./Quintal"
"Other Pulses","Pulses","VAAR82","Rs./Quintal"
"Ox","Live Stock,Poultry,Fisheries","VAAR172","Rs./Unit"
"PADDY","Unknown","VAAR730","Rs./Quintal"
"PADDY _JAY SRIRAM(OLD)","Unknown","VAAR622","Rs./Quintal"
"PADDY -BPT(TN)","Unknown","VAAR791","Rs./Quintal"
"PADDY 1001","Unknown","VAAR585","Rs./Quintal"
"PADDY 1010","Unknown","VAAR558","Rs./Quintal"
"PADDY 6444","Unknown","VAAR553","Rs./Quintal"
"PADDY 6453","Unknown","VAAR625","Rs./Quintal"
"PADDY ADT-37(TN)","Unknown","VAAR611","Rs./Quintal"
"PADDY ADT-39(TN)","Unknown","VAAR708","Rs./Quintal"
"PADDY ASD 16","Unknown","VAAR653","Rs./Quintal"
"PADDY BPT","Unknown","VAAR706","Rs./Quintal"
"PADDY BPT OLD","Unknown","VAAR623","Rs./Quintal"
